y,x,valor-matriz,plataforma
0,0,0.40307,2
1,0,0.43832,2
2,0,0.44228,2
3,0,0.33617,2
4,0,0.28941,2
5,0,0.0326,2
6,0,0.02808,2
7,0,0.0303,2
8,0,0.08001,2
9,0,0.05738,2
10,0,0.06332,2
11,0,0.04361,2
12,0,0.02407,2
13,0,0.29964,2
14,0,0.41014,2
15,0,0.37853,2
16,0,0.41821,2
17,0,0.42131,2
18,0,0.48068,2
19,0,0.40493,2
0,1,0.51659,2
1,1,0.53137,2
2,1,0.46704,2
3,1,0.4512,2
4,1,0.36144,2
5,1,0.30861,2
6,1,0.00951,2
7,1,0.03978,2
8,1,0.0664,2
9,1,0.08467,2
10,1,0.02063,2
11,1,0.04359,2
12,1,0.28941,2
13,1,0.41893,2
14,1,0.43369,2
15,1,0.51333,2
16,1,0.55783,2
17,1,0.49203,2
18,1,0.54636,2
19,1,0.47173,2
0,2,0.56662,2
1,2,0.5777,2
2,2,0.56482,2
3,2,0.5348,2
4,2,0.47151,2
5,2,0.3339,2
6,2,0.29722,2
7,2,0.086,2
8,2,0.01398,2
9,2,0.0463,2
10,2,0.09548,2
11,2,0.27362,2
12,2,0.38042,2
13,2,0.43294,2
14,2,0.4851,2
15,2,0.5929,2
16,2,0.54685,2
17,2,0.57648,2
18,2,0.55466,2
19,2,0.62648,2
0,3,0.77988,2
1,3,0.62801,2
2,3,0.63133,2
3,3,0.52898,2
4,3,0.477,2
5,3,0.39175,2
6,3,0.29711,2
7,3,0.08369,2
8,3,0.02832,2
9,3,0.09295,2
10,3,0.09676,2
11,3,0.35382,2
12,3,0.42265,2
13,3,0.52881,2
14,3,0.54453,2
15,3,0.61912,2
16,3,0.6646,2
17,3,0.66097,2
18,3,0.75688,2
19,3,0.62958,2
0,4,0.87634,2
1,4,0.78812,2
2,4,0.67961,2
3,4,0.67729,2
4,4,0.57194,2
5,4,0.39326,2
6,4,0.33336,2
7,4,0.0522,2
8,4,0.09453,2
9,4,0.03978,2
10,4,0.08605,2
11,4,0.36696,2
12,4,0.48207,2
13,4,0.48651,2
14,4,0.57879,2
15,4,0.63569,2
16,4,0.75059,2
17,4,0.79399,2
18,4,0.82083,2
19,4,0.69259,2
0,5,0.91562,2
1,5,0.74576,2
2,5,0.7789,2
3,5,0.60404,2
4,5,0.581,2
5,5,0.39785,2
6,5,0.34093,2
7,5,0.26907,2
8,5,0.02408,2
9,5,0.02359,2
10,5,0.24769,2
11,5,0.35421,2
12,5,0.48633,2
13,5,0.57073,2
14,5,0.65165,2
15,5,0.7387,2
16,5,0.78558,2
17,5,0.99223,2
18,5,0.81127,2
19,5,0.6531,2
0,6,0.82891,2
1,6,0.75724,2
2,6,0.71475,2
3,6,0.65149,2
4,6,0.51553,2
5,6,0.4014,2
6,6,0.35278,2
7,6,0.05601,2
8,6,0.07044,2
9,6,0.04101,2
10,6,0.04386,2
11,6,0.32938,2
